id,bbox,result
N-075,"[107.3583984375, 27.51070745181159, 107.36114501953125, 27.513143435807187]",0
N-076,"[101.2994384765625, 21.261220997023244, 101.30218505859375, 21.263780615837835]",0
N-077,"[106.09771728515625, 37.302460074782296, 106.1004638671875, 37.304644804751106]",0
N-078,"[98.91265869140625, 28.48076290299031, 98.9154052734375, 28.48317705857076]",0
N-079,"[112.23358154296875, 37.44215478101228, 112.236328125, 37.444335446200355]",0
N-080,"[103.77410888671875, 27.352252938063845, 103.77685546875, 27.354692421461653]",0
N-081,"[100.711669921875, 29.65464247966364, 100.71441650390625, 29.65702929559473]",0
N-082,"[102.98309326171875, 37.37888785004525, 102.98583984375, 37.38107035775657]",1
N-083,"[104.21905517578125, 27.47172437423023, 104.2218017578125, 27.47416122087989]",0
N-084,"[99.3438720703125, 24.49964563573288, 99.34661865234375, 24.502144901210876]",0
N-085,"[115.27679443359375, 22.83188325491576, 115.279541015625, 22.83441461147479]",0
N-086,"[105.34515380859375, 31.466153715024284, 105.347900390625, 31.468496379205952]",0
N-087,"[108.21533203125, 37.56417412088097, 108.21807861328125, 37.566351224992246]",0
N-088,"[113.57666015625, 38.593260519871606, 113.57940673828125, 38.59540719940386]",0
N-089,"[125.81268310546875, 50.54485385715232, 125.8154296875, 50.546599206214196]",0
N-090,"[110.07476806640625, 37.86834903305901, 110.0775146484375, 37.87051721701938]",0
N-091,"[115.11749267578125, 27.54480631775389, 115.1202392578125, 27.54724154625327]",0
N-092,"[115.279541015625, 37.04202441635082, 115.28228759765625, 37.044216689679715]",0
N-093,"[102.886962890625, 33.658067007354404, 102.88970947265625, 33.66035312192882]",0
N-094,"[110.8575439453125, 35.09968696427472, 110.86029052734375, 35.10193405724606]",0
N-095,"[126.25213623046875, 48.576607131884074, 126.2548828125, 48.57842428752036]",0
N-096,"[101.40106201171875, 35.93354064249313, 101.40380859375, 35.93576451385529]",0
N-097,"[122.38494873046875, 44.97257068224064, 122.3876953125, 44.974513705639836]",0
N-098,"[128.6004638671875, 48.88639177703194, 128.60321044921875, 48.8881977709823]",0
N-099,"[101.513671875, 25.127879288597562, 101.51641845703125, 25.130365915065003]",0
N-100,"[117.33673095703125, 49.610709938074216, 117.3394775390625, 49.61248962905262]",0
N-101,"[122.50579833984375, 41.4262531950727, 122.508544921875, 41.42831257152292]",0
N-102,"[118.0206298828125, 27.36932819332871, 118.02337646484375, 27.371767300523036]",0
N-103,"[108.36090087890625, 29.504159065872624, 108.3636474609375, 29.506549442788607]",0
N-104,"[127.50457763671875, 42.09822241118973, 127.50732421875, 42.10026033308264]",0
N-105,"[100.91217041015625, 26.75296834795026, 100.9149169921875, 26.755420897359127]",0
N-106,"[119.13299560546875, 33.90233640448069, 119.1357421875, 33.90461600836232]",0
N-107,"[115.9771728515625, 26.357420068331177, 115.97991943359375, 26.35988109485538]",0
N-108,"[119.0643310546875, 33.65578083204094, 119.06707763671875, 33.658067007354404]",0
N-109,"[125.83465576171875, 42.42548395494744, 125.83740234375, 42.42751132639089]",0
N-110,"[110.59112548828125, 26.123384198664965, 110.5938720703125, 26.12585018568035]",1
N-111,"[106.72119140625, 27.38883954552589, 106.72393798828125, 27.391278222579285]",0
N-112,"[102.667236328125, 24.251973033707188, 102.66998291015625, 24.254477199450612]",0
N-113,"[120.58868408203125, 37.529331802815086, 120.5914306640625, 37.53150992479081]",1
N-114,"[111.280517578125, 21.511851482588167, 111.28326416015625, 21.514406720030284]",0
N-115,"[119.66583251953125, 31.51767878128718, 119.6685791015625, 31.520020155192814]",0
N-116,"[104.4635009765625, 26.1825535132993, 104.46624755859375, 26.185018250078304]",0
N-117,"[103.59283447265625, 30.469981396221286, 103.5955810546875, 30.472348632640827]",0
N-118,"[126.18896484375, 46.35451083736524, 126.19171142578125, 46.356406479672486]",0
N-119,"[120.7012939453125, 31.351291407790587, 120.70404052734375, 31.353636941500994]",0
N-120,"[122.37945556640625, 42.0125705565935, 122.3822021484375, 42.014611228817955]",1
N-121,"[117.36968994140625, 39.29392267616435, 117.3724365234375, 39.29604824402407]",1
N-122,"[113.83209228515625, 39.51251701659636, 113.8348388671875, 39.51463593278351]",0
N-123,"[122.947998046875, 44.82276018992735, 122.95074462890625, 44.82470828230022]",1
N-124,"[128.7322998046875, 49.54303352434694, 128.73504638671875, 49.5448156850445]",0
N-125,"[109.70947265625, 38.29209231762609, 109.71221923828125, 38.29424797320528]",0
N-126,"[104.8809814453125, 31.952162238024968, 104.88372802734375, 31.954492656522525]",0
N-127,"[101.70867919921875, 25.27698715136923, 101.71142578125, 25.279470734081823]",0
N-128,"[109.75067138671875, 28.717087374872175, 109.75341796875, 28.71949610755747]",0
N-129,"[100.85174560546875, 30.320729603696012, 100.8544921875, 30.323100460201648]",0
N-130,"[112.21710205078125, 22.080549718325074, 112.2198486328125, 22.083094832921418]",0
N-131,"[110.478515625, 20.62507282221864, 110.48126220703125, 20.627643341686753]",0
N-132,"[110.93719482421875, 34.676135033800946, 110.93994140625, 34.678393740116476]",0
N-133,"[109.37713623046875, 32.16166284018012, 109.3798828125, 32.16398792824024]",0
N-134,"[108.995361328125, 32.711044390782945, 108.99810791015625, 32.71335535317754]",0
N-135,"[110.31646728515625, 26.386948928734135, 110.3192138671875, 26.389409326462523]",0
N-136,"[112.26104736328125, 22.248428704383617, 112.2637939453125, 22.250970782750866]",0
N-137,"[126.31805419921875, 48.186232335871836, 126.32080078125, 48.1880634812114]",0
N-138,"[126.62017822265625, 45.15299023250611, 126.6229248046875, 45.15492713361845]",0
N-139,"[126.36749267578125, 42.38086519582322, 126.3702392578125, 42.38289400961404]",0
N-140,"[117.84759521484375, 34.09815934521553, 117.850341796875, 34.100433699757104]",0
N-141,"[110.65155029296875, 20.06883085804045, 110.654296875, 20.071410649317997]",0
N-142,"[113.291015625, 37.92903406232563, 113.29376220703125, 37.93120045933371]",0
N-143,"[99.1131591796875, 23.59167732524407, 99.11590576171875, 23.594194326203823]",0
N-144,"[112.71148681640625, 26.554136386183778, 112.7142333984375, 26.556593211456352]",0
N-145,"[113.7249755859375, 36.91476428895593, 113.72772216796875, 36.916960231833066]",0
N-146,"[101.71966552734375, 27.06401754660869, 101.722412109375, 27.06646334771017]",0
N-147,"[106.17462158203125, 33.250172902093894, 106.1773681640625, 33.25246979589199]",0
N-148,"[120.069580078125, 32.847288664663786, 120.07232666015625, 32.84959609102515]",0
N-149,"[126.20269775390625, 48.4965876108066, 126.2054443359375, 48.49840764096434]",0
N-150,"[120.29205322265625, 27.296129996884854, 120.2947998046875, 27.298570715261526]",0
N-151,"[106.292724609375, 41.4262531950727, 106.29547119140625, 41.42831257152292]",0
N-152,"[116.092529296875, 24.256981315882484, 116.09527587890625, 24.25948538299898]",0
N-153,"[115.8673095703125, 39.389509330766366, 115.87005615234375, 39.39163199379183]",0
N-154,"[121.640625, 31.3020216901361, 121.64337158203125, 31.30436845183097]",0
N-155,"[100.250244140625, 25.279470734081823, 100.25299072265625, 25.281954265954294]",0
N-156,"[106.28173828125, 31.959153316146665, 106.28448486328125, 31.961483557268544]",0
N-157,"[119.00665283203125, 30.652090026760014, 119.0093994140625, 30.65445282440073]",0
N-158,"[114.12322998046875, 36.39254581244625, 114.1259765625, 36.39475669987384]",0
N-159,"[117.674560546875, 33.47498122050128, 117.67730712890625, 33.477272187760356]",0
N-160,"[126.74652099609375, 47.03269459852137, 126.749267578125, 47.03456658359042]",1
N-161,"[109.80560302734375, 33.75174787568194, 109.808349609375, 33.754031498216385]",0
N-162,"[107.5506591796875, 40.88444793903561, 107.55340576171875, 40.8865244080599]",0
N-163,"[85.46539306640625, 45.93396044192158, 85.4681396484375, 45.935870621190524]",0
N-164,"[106.50970458984375, 29.37978176745497, 106.512451171875, 29.382175075145277]",0
N-165,"[106.33941650390625, 26.777491459950603, 106.3421630859375, 26.7799434799451]",0
N-166,"[85.2813720703125, 44.35724203587636, 85.28411865234375, 44.35920579433502]",0
N-167,"[105.0347900390625, 24.87896163119999, 105.03753662109375, 24.88145330131797]",0
N-168,"[100.7501220703125, 38.83756825896614, 100.75286865234375, 38.83970761354513]",0
N-169,"[122.7886962890625, 45.31546044422575, 122.79144287109375, 45.317391815701576]",0
N-170,"[105.86700439453125, 29.307956376745306, 105.8697509765625, 29.310351371763005]",0
N-171,"[111.26129150390625, 28.446958931637894, 111.2640380859375, 28.449373859556662]",0
N-172,"[115.34820556640625, 28.367235392522986, 115.3509521484375, 28.36965213860085]",0
N-173,"[99.38507080078125, 32.08955569378857, 99.3878173828125, 32.09188262002179]",0
N-174,"[106.7376708984375, 27.785631542688837, 106.74041748046875, 27.78806141091126]",0
N-175,"[113.40087890625, 38.048091067457236, 113.40362548828125, 38.05025395161287]",0
N-176,"[126.04888916015625, 45.775186183521036, 126.0516357421875, 45.77710182434549]",0
N-177,"[99.64599609375, 26.89512862317936, 99.64874267578125, 26.897578097333923]",0
N-178,"[110.72296142578125, 27.632440508426793, 110.7257080078125, 27.634873791342518]",0
N-179,"[109.89349365234375, 39.76632525654491, 109.896240234375, 39.76843641083843]",0
N-180,"[98.7890625, 28.359984824037394, 98.79180908203125, 28.362401735238215]",0
N-181,"[105.9246826171875, 28.73394733840369, 105.92742919921875, 28.73635568263935]",0
N-182,"[109.1162109375, 34.136815058265334, 109.11895751953125, 34.13908837343849]",0
N-183,"[125.10406494140625, 44.221583765457964, 125.1068115234375, 44.22355206487972]",0
N-184,"[112.34893798828125, 39.061849134291535, 112.3516845703125, 39.06398173012626]",0
N-185,"[109.786376953125, 21.55783888012395, 109.78912353515625, 21.560393308330752]",0
N-186,"[102.1234130859375, 28.2971258244929, 102.12615966796875, 28.299544165609092]",0
N-187,"[109.00634765625, 31.510654307532675, 109.00909423828125, 31.512995857454676]",0
N-188,"[113.76617431640625, 38.914544497799476, 113.7689208984375, 38.91668153637509]",0
N-189,"[111.148681640625, 23.380077240656455, 111.15142822265625, 23.38259828417886]",0
N-190,"[108.9019775390625, 37.21283151445594, 108.90472412109375, 37.215018845563215]",1
N-191,"[84.276123046875, 44.33760083149563, 84.27886962890625, 44.33956524809713]",0
N-192,"[102.1728515625, 25.55235365216548, 102.17559814453125, 25.554831569594167]",0
N-193,"[102.711181640625, 33.18353672893614, 102.71392822265625, 33.18583537264943]",0
N-194,"[113.26629638671875, 22.403410892712117, 113.26904296875, 22.40595014872572]",0
N-195,"[113.1591796875, 36.49638952000399, 113.16192626953125, 36.498597450281316]",0
N-196,"[108.68499755859375, 41.054501963290505, 108.687744140625, 41.0565730874647]",0
N-197,"[117.39990234375, 27.408347455871418, 117.40264892578125, 27.410785702577023]",0
N-198,"[100.13763427734375, 25.829561086053502, 100.140380859375, 25.83203324251534]",0
N-199,"[113.6480712890625, 30.994091500316163, 113.65081787109375, 30.99644589742638]",1
N-200,"[112.81036376953125, 28.091366281406934, 112.8131103515625, 28.093789282770945]",0
